ID_IBGE;ID_SNIS;MUNICIP1;MUNICIP2;UF;REGIAO;CENTRX;CENTRY;RENDAPITA;GINI;PIB;IDH;AG001;AG020;AG022;GE012;CONSUMO1;CONSUMO2;REDE;PROPREDE
5106851;510685;PORTO ESTRELA;Porto Estrela;;5;-57,21396;-15,52402809; 272,68;0,5251;NA;NA;NA;NA;NA;NA;NA;NA;    701;0,626452189
5107008;510700;POXORO;Poxoro;MT;5;-54,18309;-15,85330330; 442,04;0,5159;1,575561e+05;0,743;   14793;   128,10;    910;   17599;7,278823e+00;  8,65950100;   4037;0,713503005
5107040;510704;PRIMAVERA DO LESTE;Primavera do Leste;MT;5;-54,22015;-15,09877681; 915,27;0,5437;7,360569e+05;0,805;   49271;  1635,00;  10180;   52066;3,140245e+01; 33,18382000;  11278;0,715110012
5107065;510706;QUERNCIA;Querncia;MT;5;-52,74319;-12,15821594; 623,85;0,5000;1,901130e+05;0,750;    6272;   110,00;   1045;   13033;8,440114e+00; 17,53826500;   1999;0,546622915
5107107;510710;SO JOS DOS QUATRO MARCOS;So Jos dos Quatro Marcos;MT;5;-58,29717;-15,56664236; 643,20;0,5464;1,037971e+05;0,735;   14216;NA;   4407;   18998;NA;NA;   4416;0,722986248
5107156;510715;RESERVA DO CABAAL;Reserva do Cabaal;MT;5;-58,45865;-14,92946896; 429,00;0,4099;1,350146e+04;0,680;    1622;    90,00;    450;    2572;3,499222e+01; 55,48705300;    581;0,702539299
5107180;510718;RIBEIRO CASCALHEIRA;Ribeiro Cascalheira;;5;-51,56853;-12,87384051; 480,17;0,5658;NA;NA;NA;NA;NA;NA;NA;NA;   1534;0,567937801
5107198;510719;RIBEIROZINHO;Ribeirozinho;MT;5;-52,76022;-16,49393638; 569,90;0,4759;2,556601e+04;0,730;    1681;NA;     67;    2199;NA;NA;    626;0,842530283
5107206;510720;RIO BRANCO;Rio Branco;MT;5;-58,15395;-15,27021141; 614,63;0,5123;2,412653e+04;0,698;    4547;NA;   1336;    5070;NA;NA;   1430;0,847658566
5107248;510724;SANTA CARMEM;Santa Carmem;MT;5;-54,90298;-11,93538680; 631,10;0,4833;9,500620e+04;0,787;    3081;   134,00;    902;    4085;3,280294e+01; 43,49237300;    872;0,744027304
5107263;510726;SANTO AFONSO;Santo Afonso;;5;-57,34422;-14,45091483; 459,12;0,4501;NA;NA;NA;NA;NA;NA;NA;NA;    475;0,470297030
5107297;510729;SO JOS DO POVO;So Jos do Povo;MT;5;-54,27465;-16,46277243; 394,88;0,4438;1,732780e+04;0,699;    2234;NA;NA;    3592;NA;NA;    842;0,729636049
