"id","idade","ano_de_ingresso","ca","cr","turno","renda","municipio_de_residencia"
55,19,2019,NA,3.33,"Matutino","De R$ 1.500,01 a R$ 2.250,00","São Bernardo do Campo - SP"
56,25,2016,2.8,2.8,"Noturno","De R$ 1.500,01 a R$ 2.250,00","São Bernardo do Campo - SP"
57,21,2017,3.34,3.34,"Matutino","De R$ 2.250,01 a R$ 3.000,00","São Paulo - SP"
58,19,2018,NA,3.6,"Matutino","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
59,29,2018,3.18,3.18,"Noturno","De R$ 750,01 a R$ 1.500,00","Santo André - SP"
60,19,2019,2.89,2.89,"Noturno","De R$ 1.500,01 a R$ 2.250,00","São Bernardo do Campo - SP"
61,21,2016,3.8,3.8,"Noturno","De R$ 2.250,01 a R$ 3.000,00","Mauá - SP"
62,30,2018,NA,NA,"Noturno","Prefiro não responder","Santo André - SP"
63,24,2019,2.5,2.5,"Matutino","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
64,20,2018,2.9,2.6,"Matutino","De R$ 3.000,01 a R$ 4.000,00","São Bernardo do Campo - SP"
65,21,2018,2.4,2.4,"Noturno","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
66,23,2014,1.8,1.6,"Vespertino","De R$ 3.000,01 a R$ 4.000,00","São Paulo - SP"
67,21,2018,2.79,2.79,"Matutino","De R$ 2.250,01 a R$ 3.000,00","São Bernardo do Campo - SP"
68,21,2016,NA,3.2,"Noturno","De R$ 2.250,01 a R$ 3.000,00","Santo André - SP"
69,26,2017,3.15,3.06,"Noturno","De R$ 4.000,01 a R$ 5.000,00","Santo André - SP"
70,20,2019,4,4,"Matutino","De R$ 1.500,01 a R$ 2.250,00","São Paulo - SP"
71,20,2017,2.7,2.7,"Matutino","Até R$ 750,00","São Bernardo do Campo - SP"
72,28,2016,1.6,1.58,"Prefiro não responder","De R$ 4.000,01 a R$ 5.000,00","São Paulo - SP"
73,23,2019,NA,NA,"Noturno","De R$ 1.500,01 a R$ 2.250,00","Diadema - SP"
74,20,2019,1.72,1.72,"Matutino","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
75,27,2016,2.19,2.08,"Noturno","De R$ 3.000,01 a R$ 4.000,00","São Paulo - SP"
76,20,2018,2.63,2.63,"Matutino","De R$ 1.500,01 a R$ 2.250,00","São Paulo - SP"
77,21,2018,2.23,2.13,"Vespertino","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
78,29,2017,3,3,"Noturno","De R$ 7.000,01 a R$ 10.000,00","São Paulo - SP"
79,21,2016,2.7,2.48,"Noturno","De R$ 1.500,01 a R$ 2.250,00","São Paulo - SP"
80,NA,2017,3.3,3.3,"Noturno","De R$ 1.500,01 a R$ 2.250,00","Guarulhos - SP"
81,29,2019,NA,NA,"Matutino","De R$ 1.500,01 a R$ 2.250,00","São Paulo - SP"
82,23,2014,2.8,2.5,"Matutino","De R$ 1.500,01 a R$ 2.250,00","São Paulo - SP"
83,22,2016,2.7,2.7,"Matutino","De R$ 4.000,01 a R$ 5.000,00","São Bernardo do Campo - SP"
84,22,2016,3.59,3.59,"Matutino","De R$ 2.250,01 a R$ 3.000,00","São Bernardo do Campo - SP"
