ID_IBGE;UF;REGIAO;DOMICIL;REDE
1504802;PA;1;  13725;   6366
4215703;SC;4;   6156;   4788
5102603;MT;5;   2910;   1284
3151206;MG;3;  15108;  14784
3106507;MG;3;   3300;   1460
2906501;BA;2;  24892;  23306
4117503;PR;4;  11220;  10988
2100808;MA;2;   3326;   2452
1200435;AC;1;    816;    390
2102754;NA;2;   2880;   2169
2929404;BA;2;   3098;   1388
3519071;SP;3;  55393;  54366
1303106;AM;1;   5570;   2590
3147907;MG;3;  33269;  31569
4311643;RS;4;    547;    418
3550704;SP;3;  23603;  16516
4304853;NA;4;    498;    303
3148004;MG;3;  45621;  41483
4307559;RS;4;   2022;   1709
3510609;SP;3; 108592; 106529
3131307;MG;3;  72890;  65438
3535705;NA;3;   1899;   1669
2105807;MA;2;   2593;   1207
2409506;RN;2;    903;    430
3166105;MG;3;   1033;    455
2933406;BA;2;   2461;   2065
2916401;BA;2;  19294;  18464
2104909;MA;2;   3326;   2608
3127339;MG;3;   1475;   1210
2111748;NA;2;   2581;   1240
3525805;NA;3;   1373;   1306
3109006;MG;3;  10570;   8071
2112100;MA;2;   6541;   3325
3112604;MG;3;   4982;   4549
4316477;NA;4;    892;    874
2506103;PB;2;   3248;   1505
2932457;BA;2;   3974;   2214
3160454;MG;3;   1798;    923
3504800;NA;3;   2753;   2509
5212600;GO;5;    848;    566
4101804;PR;4;  35483;  33086
2200954;NA;2;    669;    333
4219853;SC;4;   1020;    817
4105409;PR;4;   6199;   4113
2106375;MA;2;   3095;   1572
2210706;PI;2;   3659;   1664
2900207;BA;2;   4314;   3340
2307908;CE;2;   2706;   2139
3106705;MG;3; 112591; 110243
2205409;PI;2;   3412;   2314
3510500;SP;3;  31934;  30771
4315800;RS;4;   3556;   2932
1507961;PA;1;   2595;   2074
1507805;NA;1;   3306;   1578
5213053;GO;5;    867;    394
5204102;GO;5;   3401;   2513
2202174;NA;2;   1684;    897
2105500;MA;2;   5401;   4582
2504355;PB;2;   1329;    586
2922607;BA;2;   3556;   1720
2100402;MA;2;   2635;   1805
3519600;SP;3;  16823;  16034
2504009;PB;2; 111852; 109343
4210902;SC;4;   1273;   1064
2603504;PE;2;   5205;   4377
3203700;ES;3;   5614;   2499
2504801;NA;2;   4351;   3661
2313955;CE;2;   4877;   4082
5005103;MS;5;   1300;    723
1400100;RR;1;  76250;  73220
2406106;RN;2;   5269;   4491
2309300;CE;2;   9297;   7942
2902104;BA;2;  13612;   6487
2405900;RN;2;    752;    530
4115705;PR;4;   9723;   9087
2929206;BA;2;   9429;   8718
4309902;RS;4;   2204;   1431
1502400;PA;1;  45444;  20525
2205581;NA;2;   1062;    491
2915353;NA;2;   3529;   2839
4320230;RS;4;   1022;    902
2208700;PI;2;   2048;   1657
4201257;SC;4;   3023;   1907
4217600;SC;4;   4004;   3099
4213153;NA;4;    804;    493
3117009;MG;3;   2396;   1085
5203302;GO;5;   8118;   4618
2106409;MA;2;   3537;   2354
